Date,Open,High,Low,Close,Adj Close,P/L
5-Feb-16,"1,913.07","1,913.07","1,872.65","1,880.05","1,880.05",-1.848%
4-Feb-16,"1,911.67","1,927.35","1,900.52","1,915.45","1,915.45",0.153%
3-Feb-16,"1,907.07","1,918.01","1,872.23","1,912.53","1,912.53",0.499%
2-Feb-16,"1,935.26","1,935.26","1,897.29","1,903.03","1,903.03",-1.874%
1-Feb-16,"1,936.94","1,947.20","1,920.30","1,939.38","1,939.38",-0.044%
29-Jan-16,"1,894.00","1,940.24","1,894.00","1,940.24","1,940.24",2.476%
28-Jan-16,"1,885.22","1,902.96","1,873.65","1,893.36","1,893.36",0.553%
27-Jan-16,"1,902.52","1,916.99","1,872.70","1,882.95","1,882.95",-1.086%
26-Jan-16,"1,878.79","1,906.73","1,878.79","1,903.63","1,903.63",1.414%
25-Jan-16,"1,906.28","1,906.28","1,875.97","1,877.08","1,877.08",-1.564%
22-Jan-16,"1,877.40","1,908.85","1,877.40","1,906.90","1,906.90",2.028%
21-Jan-16,"1,861.46","1,889.85","1,848.98","1,868.99","1,868.99",0.520%
20-Jan-16,"1,876.18","1,876.18","1,812.29","1,859.33","1,859.33",-1.169%
19-Jan-16,"1,888.66","1,901.44","1,864.60","1,881.33","1,881.33",0.053%
15-Jan-16,"1,916.68","1,916.68","1,857.83","1,880.33","1,880.33",-2.160%
14-Jan-16,"1,891.68","1,934.47","1,878.93","1,921.84","1,921.84",1.670%
13-Jan-16,"1,940.34","1,950.33","1,886.41","1,890.28","1,890.28",-2.497%
12-Jan-16,"1,927.83","1,947.38","1,914.35","1,938.68","1,938.68",0.780%
11-Jan-16,"1,926.12","1,935.65","1,901.10","1,923.67","1,923.67",0.085%
8-Jan-16,"1,945.97","1,960.40","1,918.46","1,922.03","1,922.03",-1.084%
7-Jan-16,"1,985.32","1,985.32","1,938.83","1,943.09","1,943.09",-2.370%
6-Jan-16,"2,011.71","2,011.71","1,979.05","1,990.26","1,990.26",-1.312%
5-Jan-16,"2,013.78","2,021.94","2,004.17","2,016.71","2,016.71",0.201%
4-Jan-16,"2,038.20","2,038.20","1,989.68","2,012.66","2,012.66",-1.530%
31-Dec-15,"2,060.59","2,062.54","2,043.62","2,043.94","2,043.94",-0.941%
30-Dec-15,"2,077.34","2,077.34","2,061.97","2,063.36","2,063.36",-0.722%
29-Dec-15,"2,060.54","2,081.56","2,060.54","2,078.36","2,078.36",1.063%
28-Dec-15,"2,057.77","2,057.77","2,044.20","2,056.50","2,056.50",-0.218%
24-Dec-15,"2,063.52","2,067.36","2,058.73","2,060.99","2,060.99",-0.160%
23-Dec-15,"2,042.20","2,064.73","2,042.20","2,064.29","2,064.29",1.242%
22-Dec-15,"2,023.15","2,042.74","2,020.49","2,038.97","2,038.97",0.882%
21-Dec-15,"2,010.27","2,022.90","2,005.93","2,021.15","2,021.15",0.778%
18-Dec-15,"2,040.81","2,040.81","2,005.33","2,005.55","2,005.55",-1.780%
17-Dec-15,"2,073.76","2,076.37","2,041.66","2,041.89","2,041.89",-1.504%
16-Dec-15,"2,046.50","2,076.72","2,042.43","2,073.07","2,073.07",1.451%
15-Dec-15,"2,025.55","2,053.87","2,025.55","2,043.41","2,043.41",1.062%
14-Dec-15,"2,013.37","2,022.92","1,993.26","2,021.94","2,021.94",0.476%
11-Dec-15,"2,047.27","2,047.27","2,008.80","2,012.37","2,012.37",-1.942%
10-Dec-15,"2,047.93","2,067.65","2,045.67","2,052.23","2,052.23",0.225%
9-Dec-15,"2,061.17","2,080.33","2,036.53","2,047.62","2,047.62",-0.774%
8-Dec-15,"2,073.39","2,073.85","2,052.32","2,063.59","2,063.59",-0.649%
7-Dec-15,"2,090.42","2,090.42","2,066.78","2,077.07","2,077.07",-0.699%
4-Dec-15,"2,051.24","2,093.84","2,051.24","2,091.69","2,091.69",2.053%
3-Dec-15,"2,080.71","2,085.00","2,042.35","2,049.62","2,049.62",-1.437%
2-Dec-15,"2,101.71","2,104.27","2,077.11","2,079.51","2,079.51",-1.100%
1-Dec-15,"2,082.93","2,103.37","2,082.93","2,102.63","2,102.63",1.068%
30-Nov-15,"2,090.95","2,093.81","2,080.41","2,080.41","2,080.41",-0.464%
27-Nov-15,"2,088.82","2,093.29","2,084.13","2,090.11","2,090.11",0.059%
25-Nov-15,"2,089.30","2,093.00","2,086.30","2,088.87","2,088.87",-0.013%
24-Nov-15,"2,084.42","2,094.12","2,070.29","2,089.14","2,089.14",0.122%
23-Nov-15,"2,089.41","2,095.61","2,081.39","2,086.59","2,086.59",-0.123%
20-Nov-15,"2,082.82","2,097.06","2,082.82","2,089.17","2,089.17",0.381%
19-Nov-15,"2,083.70","2,086.74","2,078.76","2,081.24","2,081.24",-0.112%
18-Nov-15,"2,051.99","2,085.31","2,051.99","2,083.58","2,083.58",1.616%
17-Nov-15,"2,053.67","2,066.69","2,045.90","2,050.44","2,050.44",-0.134%
16-Nov-15,"2,022.08","2,053.22","2,019.39","2,053.19","2,053.19",1.490%
13-Nov-15,"2,044.64","2,044.64","2,022.02","2,023.04","2,023.04",-1.121%
12-Nov-15,"2,072.29","2,072.29","2,045.66","2,045.97","2,045.97",-1.399%
11-Nov-15,"2,083.41","2,086.94","2,074.85","2,075.00","2,075.00",-0.323%
10-Nov-15,"2,077.19","2,083.67","2,069.91","2,081.72","2,081.72",0.151%
9-Nov-15,"2,096.56","2,096.56","2,068.24","2,078.58","2,078.58",-0.982%
6-Nov-15,"2,098.60","2,101.91","2,083.74","2,099.20","2,099.20",-0.035%
5-Nov-15,"2,101.68","2,108.78","2,090.41","2,099.93","2,099.93",-0.113%
4-Nov-15,"2,110.60","2,114.59","2,096.98","2,102.31","2,102.31",-0.355%
3-Nov-15,"2,102.63","2,116.48","2,097.51","2,109.79","2,109.79",0.273%
2-Nov-15,"2,080.76","2,106.20","2,080.76","2,104.05","2,104.05",1.187%
30-Oct-15,"2,090.00","2,094.32","2,079.34","2,079.36","2,079.36",-0.481%
29-Oct-15,"2,088.35","2,092.52","2,082.63","2,089.41","2,089.41",-0.045%
28-Oct-15,"2,066.48","2,090.35","2,063.11","2,090.35","2,090.35",1.184%
27-Oct-15,"2,068.75","2,070.37","2,058.84","2,065.89","2,065.89",-0.255%
26-Oct-15,"2,075.08","2,075.14","2,066.53","2,071.18","2,071.18",-0.191%
23-Oct-15,"2,058.19","2,079.74","2,058.19","2,075.15","2,075.15",1.103%
22-Oct-15,"2,021.88","2,055.20","2,021.88","2,052.51","2,052.51",1.663%
21-Oct-15,"2,033.47","2,037.97","2,017.22","2,018.94","2,018.94",-0.583%
20-Oct-15,"2,033.13","2,039.12","2,026.61","2,030.77","2,030.77",-0.142%
19-Oct-15,"2,031.73","2,034.45","2,022.31","2,033.66","2,033.66",0.027%
16-Oct-15,"2,024.37","2,033.54","2,020.46","2,033.11","2,033.11",0.457%
15-Oct-15,"1,996.47","2,024.15","1,996.47","2,023.86","2,023.86",1.485%
14-Oct-15,"2,003.66","2,009.56","1,990.73","1,994.24","1,994.24",-0.472%
13-Oct-15,"2,015.00","2,022.34","2,001.78","2,003.69","2,003.69",-0.683%
12-Oct-15,"2,015.65","2,018.66","2,010.55","2,017.46","2,017.46",0.128%
9-Oct-15,"2,013.73","2,020.13","2,007.61","2,014.89","2,014.89",0.073%
8-Oct-15,"1,994.01","2,016.50","1,987.53","2,013.43","2,013.43",0.882%
7-Oct-15,"1,982.34","1,999.31","1,976.44","1,995.83","1,995.83",0.804%
6-Oct-15,"1,986.63","1,991.62","1,971.99","1,979.92","1,979.92",-0.359%
5-Oct-15,"1,954.33","1,989.17","1,954.33","1,987.05","1,987.05",1.829%
2-Oct-15,"1,921.77","1,951.36","1,893.70","1,951.36","1,951.36",1.432%
1-Oct-15,"1,919.65","1,927.21","1,900.70","1,923.82","1,923.82",0.197%
30-Sep-15,"1,887.14","1,920.53","1,887.14","1,920.03","1,920.03",1.908%
29-Sep-15,"1,881.90","1,899.48","1,871.91","1,884.09","1,884.09",0.123%
28-Sep-15,"1,929.18","1,929.18","1,879.21","1,881.77","1,881.77",-2.567%
25-Sep-15,"1,935.93","1,952.89","1,921.50","1,931.34","1,931.34",-0.047%
24-Sep-15,"1,934.81","1,937.17","1,908.92","1,932.24","1,932.24",-0.336%
23-Sep-15,"1,943.24","1,949.52","1,932.57","1,938.76","1,938.76",-0.205%
22-Sep-15,"1,961.39","1,961.39","1,929.22","1,942.74","1,942.74",-1.232%
21-Sep-15,"1,960.84","1,979.64","1,955.80","1,966.97","1,966.97",0.457%
18-Sep-15,"1,989.66","1,989.66","1,953.45","1,958.03","1,958.03",-1.616%
17-Sep-15,"1,995.33","2,020.86","1,986.73","1,990.20","1,990.20",-0.256%
16-Sep-15,"1,978.02","1,997.26","1,977.93","1,995.31","1,995.31",0.871%
15-Sep-15,"1,955.10","1,983.19","1,954.30","1,978.09","1,978.09",1.283%
14-Sep-15,"1,963.06","1,963.06","1,948.27","1,953.03","1,953.03",-0.409%
11-Sep-15,"1,951.45","1,961.05","1,939.19","1,961.05","1,961.05",0.449%
10-Sep-15,"1,941.59","1,965.29","1,937.19","1,952.29","1,952.29",0.528%
9-Sep-15,"1,971.45","1,988.63","1,937.88","1,942.04","1,942.04",-1.390%
8-Sep-15,"1,927.30","1,970.42","1,927.30","1,969.41","1,969.41",2.508%
4-Sep-15,"1,947.76","1,947.76","1,911.21","1,921.22","1,921.22",-1.533%
3-Sep-15,"1,950.79","1,975.01","1,944.72","1,951.13","1,951.13",0.116%
2-Sep-15,"1,916.52","1,948.91","1,916.52","1,948.86","1,948.86",1.829%
1-Sep-15,"1,970.09","1,970.09","1,903.07","1,913.85","1,913.85",-2.958%
31-Aug-15,"1,986.73","1,986.73","1,965.98","1,972.18","1,972.18",-0.839%
28-Aug-15,"1,986.06","1,993.48","1,975.19","1,988.87","1,988.87",0.061%
27-Aug-15,"1,942.77","1,989.60","1,942.77","1,987.66","1,987.66",2.430%
26-Aug-15,"1,872.75","1,943.09","1,872.75","1,940.51","1,940.51",3.903%
25-Aug-15,"1,898.08","1,948.04","1,867.08","1,867.61","1,867.61",-1.352%
24-Aug-15,"1,965.15","1,965.15","1,867.01","1,893.21","1,893.21",-3.941%
21-Aug-15,"2,034.08","2,034.08","1,970.89","1,970.89","1,970.89",-3.185%
20-Aug-15,"2,076.61","2,076.61","2,035.73","2,035.73","2,035.73",-2.110%
19-Aug-15,"2,095.69","2,096.17","2,070.53","2,079.61","2,079.61",-0.825%
18-Aug-15,"2,101.99","2,103.47","2,094.14","2,096.92","2,096.92",-0.263%
17-Aug-15,"2,089.70","2,102.87","2,079.30","2,102.44","2,102.44",0.521%
14-Aug-15,"2,083.15","2,092.45","2,080.61","2,091.54","2,091.54",0.391%
